Abdecktuch
Gürteltasche
Halogenlampenzange
Hammerzange
Harting-Stecker für Lichtwellenleiter
Hebelübersetzung
Hexagonal-Crimp
High Leverage Trademan's Set
Hightech-Wasserpumpenzange
Hochleistungs-Seitenschneider
hochübersetzt
Hub
Hufbeschlagzange
Hufeisen-Abreißzange
Hülle
Innen- und Außenringe bis zu 1000 mm Nennweite
Innenring
Innenringe in Bohrungen
Innensechskantschraube
Innenvierkant
Isolation
isolierend
isoliert
Isolierung
Isolierungshalter 
Justierzange
Kabel
Kabelbinder-Trennset
Kabelkanal
Kabelmesser
Kabelquerschnitt
Kabelschere
Kabelschere mit Abisolierfunktion
Kabelschneider
Kabelschuh
Kabelverbinder
"Kabelzange ""Lineman's Pliers"""
Kalibrierdorn
Kalibrieren
Kapazität
Kapazitätsbereich
Karabiner
Karosserieabreißzange
Kegelgriff 
Kegelstift 
Klammer
Klemmschraube
Klemmschutz
Klettverschluss
Klinge
Kneifzange
Koaxialkabel
Koaxial-Verbinder
Kombischere
Kombizange
Kompakt-Bolzenschneider
Kompaktkoffer
Kompakt-Seitenschneider
Kompressionswerkzeug
Kraft-Bündigschneider
Kraft-Kombizange
Kraft-Mittenschneider
Kraft-Monierzange
Kraft-Seitenschneider
Kraftübertragung
Kraft-Vornschneider
kreuzgezahnt
Kreuz-Pinzette
Kreuzschlitzschraube
Kugellagerstahl
Kunststoff
Kunststoff- und Gummiprofile
Kunststoffbacken
Kunststoffkragen
Kunststoff-Pinzette
Kunststoffrohr
Kunststoff-Schonbacken
Kunststoffwellrohr
Kupfer
Lackabzieh-Pinzette
Langbeckzange
Längenanschlag
LED-Magnetleuchte
Lichtwellenleiter
Lineman's Pliers
Litze
Litzendraht
Lochpfeife
Mattenschneider
Maulschlüssel
Maulweite
Maurermeißel
Mechanik
Mechaniker-Vornschneider
Mechanikerzange
Mehrkomponenten-Hülle
Meißelhammer
Meterstab (Zollstock)
Mini-Abisolierer
Miniaturstecker
Mini-Kombizange
Mini-Zangenschlüssel
Mini-Zangenset
Mittenschneider
Modulstecker
Moniereisen
Monierzange
Montagezange
Montierzange
MQS-Stecker
Multifunktionszange
Mutter
nadelspitze Form
Nadelzange
Niet
NYM-Kabel
Öffnungsbegrenzung
Öffnungsfeder
Ohrklemmenzange
Oval-Crimp
Papageienschnabelzange
Parallelcrimp
Passkerbstift
per Knopfdruck
Pianodraht
poliert
Polsterklammerzange
Positionierhilfe
Positionierung
Präzisions-Abisolierzange
Präzisions-Elektronik-Greifzange
Präzisions-Elektronik-Seitenschneider
Präzisions-Elektronikzange
Präzisionsgelenk
Präzisions-Pinzette
Präzisionsschliff
Präzisionsschneide
Präzisions-Sicherungsringzange
Presskabelschuh
Produktblatt
Profil-Verbundzange
Pufferfeder
PUK®-Säge
Quergriff
Querprofil
Quetschkabelschuh
Quetschverbinder
QuickLock-Einhandschnellfixierung
Rabitzzange
Radiozange
Rändelmutter mit Feder
Ratschenprinzip
Ratschenprinzip, Dreigang
Ratschen-Schenkel mit Riegel
Raumsparschelle
rechtwinklig abgestoßen
Reifencord
Revolverlochzange
Riegelsatz 
Rillengelenk
Ringschlüssel
Rohr- und Wasserpumpenzange
Rohr-Greifzange
Rohrkabelschuh
Rohrschneider
Rohrzange
Rollgabelschlüssel
Rolltasche
Rundkabel
Rundmaterial
Rundstecker
Rundsteckhülse
Rundzange
Rundzange mit Schneide
rutschhemmend
Schaltschrank
Schaltschrank-Schlüssel
Schaumstoffeinlage
Schenkelfeder
Schenkelweite
Schere für Kunststoffe
Scherschnitt
schlank-runde Form
Schlauchschellenzange
Schleppklinge
Schlitzschraube
Schlosserhammer
Schlüsselweite
Schmuckbiegezange
Schneidauflage
Schneide
schneiden
Schneidenform
Schneidengeometrie
Schneidenspitzen
Schneidenwinkel
Schneidkante
Schnelleinstellung
Schonbacken
Schongummi-Auflage
Schrägschneider
Schraubendreher
Schraubendreher-Griff
Schraubenkopf
Schraubenschlüssel
Schraubzange
Schrumpfschlauchisolation
Schrumpfschlauchverbinder
Schutzrohr
Schweiß-Gripzange
Schwenkmesser-Reparatursatz
Scotchlok™-Verbinder
Sechskant
Sechskant-Crimp
Sechskantmutter
Sechskantschraube
Seiteneinführung
Seitenschneider
seitliche Pressnase
Sektorkabel
selbsteinstellende Abisolierzange
selbsteinstellende Crimpzange
Selbstklemm-Effekt
selbstklemmend
Selbstklemm-Tülle
Sicherheits-Cuttermesser
Sicherheits-Kompaktkoffer
Sicherheits-Rolltasche
Sicherheitswerkzeug
Sicherungsringwerkzeug
Sicherungsringzange
Sicherungssystem-Set
Siphon- und Connectorenzange
"Siphon- und Connectorenzange ""SpeedGrip"""
Solarkabel
Solar-Steckverbinder
Sortimentsbox
Spannungs- und Magnetfeldfinder
Spannungsfinder
Spannungsprüfer
Sperrhebel 
Sperrklinke 
Spezial-Werkzeugstahl
Spezialzange
spiegelpoliert
spielfreier Gang
spitze Form
Spitz-Kombizange
Sprengring
Sprengringe auf Wellen
stahlarmiertes Kabel
Stahldraht
Standardkoffer
Standmatte
Stecker der AMP-Superseal 1.5 Serie von Tyco Electronics
Stecker der Serie Micro-Fit™ von Molex LLC
Steckschlüssel
Steckschlüsseleinsatz
Steckverbinder
Stift-Profi-Key
Stift-Schaltschrank-Schlüssel
Storchschnabelzange
Stoßverbinder
stumpfe Form
Tauchisolation
Tauchverfahren
Telefonzange
Telegärtner-Stecker für Lichtwellenleiter
Teleskopschenkel
T-Griff
Tiefen-Abmantelungswerkzeug
Tonnenfeder
Töpferzange
Tragegurt
Twin-Aderendhülsen
Überdehnungsschutz
Übersetzungsverhältnis
Umschaltknarre
Umsteckknarre
Universal-Abmantelungswerkzeug
Universal-Gripzange
Vanadin-Elektrostahl
Vanadin-Stahl
Vanadium
VDE-Werkzeuge
Verbundrohr
verchromt
Verdrahtungszange
Verdrillen
Verlängerung
verrunden
verzinkt
Vierdorn-Crimp
Vierdornpresszange
Vierkant-Crimp
Vornschneider
Vorschubklinke
Wasserpumpenzange
Weberzange
Wechselmagazin
Weichmetall
Welle
Wellrohrschneider
Wendelschnitt
Werkstoff
Werkstück
Werkstückgröße
Werkzeug-Box
Werkzeug-Gürteltasche
Werkzeugkoffer
Werkzeug-Rolltasche
Werkzeugstahl
Werkzeugtafel
Werkzeugtasche
Westernstecker
Zangengriff
Zangenkopf
Zangenkörper
Zangenschenkel
Zangenschlüssel
Ziegelkneifzange
zöllig
Zugfeder
Zugfestigkeit
Zündkerzenstecker
Zweihandbedienung
Zwischenstop-Hebel 
Zwischenstück 
Zylinderrolle 
Zylinderschraube
Zylinderstift
